Mês Ano;Órgão Superior;Órgão/Entidade Vinculada;Valor Empenhado;Valor Liquidado;Valor Pago;Valor Restos a Pagar Pagos
abr/25;68000 - Ministério de Portos e Aeroportos;68201 - Agência Nacional de Transportes Aquaviários;2.858.374,99;19.869.110,62;11.584.038,00;171.887,66
ago/25;68000 - Ministério de Portos e Aeroportos;68201 - Agência Nacional de Transportes Aquaviários;1.503.466,00;14.362.394,69;15.067.667,55;15.920,02
mai/25;68000 - Ministério de Portos e Aeroportos;68201 - Agência Nacional de Transportes Aquaviários;-172.166,69;16.239.119,79;19.557.931,12;9.594,53
jun/25;68000 - Ministério de Portos e Aeroportos;68201 - Agência Nacional de Transportes Aquaviários;24.299.416,07;17.749.365,20;15.646.150,80;12.279,18
jan/25;68000 - Ministério de Portos e Aeroportos;68201 - Agência Nacional de Transportes Aquaviários;128.983.391,82;10.923.169,35;1.834.747,74;14.618.076,76
jul/25;68000 - Ministério de Portos e Aeroportos;68201 - Agência Nacional de Transportes Aquaviários;9.923.586,45;14.840.195,78;19.195.423,98;513.535,36
ago/25;39000 - Ministério dos Transportes;39250 - Agência Nacional de Transportes Terrestres;43.083.415,12;45.218.202,23;42.501.208,35;886.945,74
jul/25;39000 - Ministério dos Transportes;39250 - Agência Nacional de Transportes Terrestres;14.520.438,12;46.578.963,49;52.129.586,52;885.597,04
jan/25;39000 - Ministério dos Transportes;39250 - Agência Nacional de Transportes Terrestres;311.917.457,12;25.488.730,37;285.934,75;33.114.484,44
mar/25;39000 - Ministério dos Transportes;39250 - Agência Nacional de Transportes Terrestres;18.339.458,53;39.043.274,80;35.293.591,44;2.966.092,47
fev/25;39000 - Ministério dos Transportes;39250 - Agência Nacional de Transportes Terrestres;21.975.708,83;31.493.921,25;29.700.021,94;5.208.246,61
abr/25;39000 - Ministério dos Transportes;39250 - Agência Nacional de Transportes Terrestres;46.434.932,30;56.821.986,70;41.552.134,90;6.594.612,04
mai/25;39000 - Ministério dos Transportes;39250 - Agência Nacional de Transportes Terrestres;-3.393.551,78;44.313.148,38;55.591.576,85;8.529.206,75
jun/25;39000 - Ministério dos Transportes;39250 - Agência Nacional de Transportes Terrestres;48.575.757,25;49.265.609,78;38.227.196,09;2.117.627,62
abr/25;36000 - Ministério da Saúde;36212 - Agência Nacional de Vigilância Sanitária;155.346.915,14;91.334.438,99;65.039.849,13;2.279.588,57
jul/25;36000 - Ministério da Saúde;36212 - Agência Nacional de Vigilância Sanitária;119.532.688,84;71.956.339,77;90.028.808,58;79.493,73
jan/25;36000 - Ministério da Saúde;36212 - Agência Nacional de Vigilância Sanitária;62.910.181,78;56.588.837,19;1.832.900,83;65.683.623,16
mai/25;36000 - Ministério da Saúde;36212 - Agência Nacional de Vigilância Sanitária;46.241.256,26;72.554.614,95;87.741.086,04;178.600,51
fev/25;36000 - Ministério da Saúde;36212 - Agência Nacional de Vigilância Sanitária;65.082.824,78;59.706.756,33;53.201.920,75;13.282.296,15
ago/25;36000 - Ministério da Saúde;36212 - Agência Nacional de Vigilância Sanitária;58.091.996,80;15.614.461,17;74.123.842,17;2.720.844,25
mar/25;36000 - Ministério da Saúde;36212 - Agência Nacional de Vigilância Sanitária;62.934.928,79;65.592.249,42;64.040.223,99;2.915.312,31
jun/25;36000 - Ministério da Saúde;36212 - Agência Nacional de Vigilância Sanitária;81.291.192,44;87.614.470,71;74.462.181,63;1.773.035,81
abr/25;53000 - Ministério da Integração e do Desenvolvimento Regional;44205 - Agência Nacional de Águas e Saneamento Básico;96.916.233,41;20.770.807,06;17.463.994,24;2.788.883,09
mar/25;53000 - Ministério da Integração e do Desenvolvimento Regional;44205 - Agência Nacional de Águas e Saneamento Básico;9.468.971,87;16.628.361,78;17.924.846,60;2.771.721,28
ago/25;53000 - Ministério da Integração e do Desenvolvimento Regional;44205 - Agência Nacional de Águas e Saneamento Básico;17.112.535,23;21.480.843,68;33.022.930,35;168.275,92
mai/25;53000 - Ministério da Integração e do Desenvolvimento Regional;44205 - Agência Nacional de Águas e Saneamento Básico;2.682.528,14;30.071.437,19;25.281.798,63;2.422.695,16
jan/25;53000 - Ministério da Integração e do Desenvolvimento Regional;44205 - Agência Nacional de Águas e Saneamento Básico;140.142.327,42;12.804.877,99;3.584.155,62;14.203.521,14
jul/25;53000 - Ministério da Integração e do Desenvolvimento Regional;44205 - Agência Nacional de Águas e Saneamento Básico;11.634.226,61;34.394.247,90;41.254.811,50;880.802,64
fev/25;53000 - Ministério da Integração e do Desenvolvimento Regional;44205 - Agência Nacional de Águas e Saneamento Básico;10.271.544,17;15.375.855,81;10.677.955,53;6.610.857,86
jun/25;53000 - Ministério da Integração e do Desenvolvimento Regional;44205 - Agência Nacional de Águas e Saneamento Básico;4.206.570,38;34.489.974,40;30.341.376,69;894.276,14
fev/25;42000 - Ministério da Cultura;20203 - Agência Nacional do Cinema;2.268.378,10;10.046.484,05;9.966.673,19;1.392.402,75
abr/25;42000 - Ministério da Cultura;20203 - Agência Nacional do Cinema;2.434.091,57;15.946.723,51;10.864.186,64;212.671,38
jan/25;42000 - Ministério da Cultura;20203 - Agência Nacional do Cinema;115.228.788,51;8.866.349,98;45.223,26;9.048.112,22
ago/25;42000 - Ministério da Cultura;20203 - Agência Nacional do Cinema;8.482.021,60;11.195.453,12;12.158.256,36;1.347,69
mar/25;42000 - Ministério da Cultura;20203 - Agência Nacional do Cinema;1.736.020,06;10.644.156,50;10.578.410,52;740.438,50
jul/25;42000 - Ministério da Cultura;20203 - Agência Nacional do Cinema;3.685.732,20;111.465.814,09;114.472.338,55;3.425,28
jun/25;42000 - Ministério da Cultura;20203 - Agência Nacional do Cinema;3.091.312,01;215.116.876,31;211.892.575,71;4.006.160,66
mai/25;42000 - Ministério da Cultura;20203 - Agência Nacional do Cinema;912.520.810,71;211.863.348,29;215.189.210,92;208.410,55
ago/25;32000 - Ministério de Minas e Energia;32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;6.787.396.557,89;3.842.850.518,23;3.855.118.698,75;291.091,55
fev/25;32000 - Ministério de Minas e Energia;32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;4.414.956.692,09;4.430.459.187,54;4.431.002.285,32;3.805.867.053,85
abr/25;32000 - Ministério de Minas e Energia;32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;3.428.911.299,03;3.479.608.785,58;3.463.440.413,79;1.348.420,84
jun/25;32000 - Ministério de Minas e Energia;32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;3.555.581.844,86;192.139.713,25;184.066.699,23;1.618.963,46
jul/25;32000 - Ministério de Minas e Energia;32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;3.398.164.314,83;3.425.214.580,59;3.425.824.045,64;389.388,12
jan/25;32000 - Ministério de Minas e Energia;32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;330.155.930,28;40.875.845,55;16.241.124,46;3.453.264.670,07
mai/25;32000 - Ministério de Minas e Energia;32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;8.190.716.319,47;8.214.957.338,79;8.225.978.975,58;2.024.142,53
mar/25;32000 - Ministério de Minas e Energia;32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;4.098.411.835,50;4.110.683.264,51;4.108.280.345,48;4.199.077,96
mai/25;41000 - Ministério das Comunicações;41231 - Agêncial Nacional de Telecomunicações;-42.095.316,85;50.537.506,25;62.403.850,21;5.969.418,88
ago/25;41000 - Ministério das Comunicações;41231 - Agêncial Nacional de Telecomunicações;207.329.407,09;49.524.573,00;52.081.885,27;548.823,82
jul/25;41000 - Ministério das Comunicações;41231 - Agêncial Nacional de Telecomunicações;17.278.820,70;57.095.361,12;63.349.537,82;2.493.771,22
jan/25;41000 - Ministério das Comunicações;41231 - Agêncial Nacional de Telecomunicações;166.926.855,04;38.288.979,41;2.147.411,10;46.006.212,92
abr/25;41000 - Ministério das Comunicações;41231 - Agêncial Nacional de Telecomunicações;139.712.308,46;70.090.542,65;49.089.961,91;2.379.376,94
jun/25;41000 - Ministério das Comunicações;41231 - Agêncial Nacional de Telecomunicações;120.261.005,01;56.969.727,52;52.715.625,63;2.054.137,52
mar/25;41000 - Ministério das Comunicações;41231 - Agêncial Nacional de Telecomunicações;14.651.731,35;42.759.819,17;42.850.824,43;7.407.319,20
fev/25;41000 - Ministério das Comunicações;41231 - Agêncial Nacional de Telecomunicações;13.091.035,67;42.220.777,87;37.433.366,19;13.279.592,57
jun/25;52000 - Ministério da Defesa;52233 - Amazônia Azul Tecnologia de Defesa S.A.;59.227.747,65;48.958.910,22;42.928.909,55;442.942,69
jul/25;52000 - Ministério da Defesa;52233 - Amazônia Azul Tecnologia de Defesa S.A.;16.375.533,55;56.571.277,10;66.562.632,61;183.024,10
abr/25;52000 - Ministério da Defesa;52233 - Amazônia Azul Tecnologia de Defesa S.A.;6.208.867,71;53.531.570,94;46.295.881,12;322.547,13
fev/25;52000 - Ministério da Defesa;52233 - Amazônia Azul Tecnologia de Defesa S.A.;81.731.143,40;52.087.439,94;43.712.349,58;6.037.070,75
ago/25;52000 - Ministério da Defesa;52233 - Amazônia Azul Tecnologia de Defesa S.A.;20.808.376,94;49.121.057,21;45.853.294,48;29.199,03
jan/25;52000 - Ministério da Defesa;52233 - Amazônia Azul Tecnologia de Defesa S.A.;385.847.886,66;23.960.774,63;631.230,29;41.828.542,87
mar/25;52000 - Ministério da Defesa;52233 - Amazônia Azul Tecnologia de Defesa S.A.;24.856.946,88;57.387.417,07;54.864.187,49;1.145.561,65
