Mês Ano;Órgão Superior;Órgão/Entidade Vinculada;Valor Empenhado;Valor Liquidado;Valor Pago;Valor Restos a Pagar Pagos
fev/25;26000 - Ministério da Educação;26411 - Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;3.298.494,27;28.095.406,64;29.495.163,47;4.612.955,03
abr/25;26000 - Ministério da Educação;26411 - Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;57.273.411,47;37.383.910,90;27.398.160,10;2.748.719,92
mai/25;26000 - Ministério da Educação;26411 - Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;125.346.305,81;34.257.818,98;39.381.584,73;3.518.441,22
jun/25;26000 - Ministério da Educação;26411 - Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;10.720.506,93;41.638.694,62;32.897.983,14;1.307.235,23
mar/25;26000 - Ministério da Educação;26411 - Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;2.718.982,30;27.113.619,96;28.146.736,12;2.413.653,84
jan/25;26000 - Ministério da Educação;26411 - Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;126.009.321,20;29.235.635,46;90.288,56;35.724.940,20
jul/25;26000 - Ministério da Educação;26411 - Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;6.681.174,18;35.708.069,22;43.267.182,86;2.257.222,91
ago/25;26000 - Ministério da Educação;26411 - Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;3.052.124,09;33.677.728,23;34.671.180,71;1.014.282,49
jan/25;26000 - Ministério da Educação;26412 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;306.468.966,70;27.678.983,97;271.461,62;29.737.871,69
jul/25;26000 - Ministério da Educação;26412 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;48.362.360,21;34.196.580,34;41.364.944,16;2.752.776,77
ago/25;26000 - Ministério da Educação;26412 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;13.250.675,45;32.941.132,12;32.271.690,19;2.226.338,81
abr/25;26000 - Ministério da Educação;26412 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;6.545.793,14;38.540.218,88;29.077.299,10;3.794.937,95
mar/25;26000 - Ministério da Educação;26412 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;6.618.853,34;27.330.642,99;26.539.372,78;22.162.246,71
mai/25;26000 - Ministério da Educação;26412 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;3.788.632,09;34.335.843,23;38.367.473,13;4.563.207,26
fev/25;26000 - Ministério da Educação;26412 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;5.165.232,64;26.184.337,01;28.078.274,86;8.272.951,08
jun/25;26000 - Ministério da Educação;26412 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;13.195.800,25;40.085.616,56;35.327.476,81;2.644.476,49
jan/25;26000 - Ministério da Educação;26424 - Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;222.318.780,50;20.005.862,50;2.175.984,28;30.416.926,63
abr/25;26000 - Ministério da Educação;26424 - Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;4.159.118,85;32.926.147,69;24.258.890,41;2.990.486,35
mai/25;26000 - Ministério da Educação;26424 - Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;51.698.017,72;29.512.795,91;32.935.674,73;1.694.895,83
mar/25;26000 - Ministério da Educação;26424 - Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;10.864.738,01;24.208.692,30;24.050.549,03;3.183.231,94
jul/25;26000 - Ministério da Educação;26424 - Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;7.269.931,90;30.571.914,28;37.989.039,80;1.568.618,06
ago/25;26000 - Ministério da Educação;26424 - Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;15.743.509,04;30.248.852,73;29.967.456,77;1.251.068,75
fev/25;26000 - Ministério da Educação;26424 - Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;10.851.874,72;27.166.103,52;22.609.051,76;2.498.456,58
jun/25;26000 - Ministério da Educação;26424 - Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;12.670.917,21;38.159.189,53;30.784.426,29;1.778.733,84
mai/25;26000 - Ministério da Educação;26413 - Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;2.834.747,45;27.404.171,85;33.482.638,55;1.421.195,21
jan/25;26000 - Ministério da Educação;26413 - Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;291.376.981,54;24.383.228,79;77.539,09;28.196.123,38
fev/25;26000 - Ministério da Educação;26413 - Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;1.546.758,10;23.374.082,81;25.105.698,90;2.932.869,46
jun/25;26000 - Ministério da Educação;26413 - Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;7.342.892,05;36.947.067,83;27.700.494,38;1.478.767,64
ago/25;26000 - Ministério da Educação;26413 - Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;11.497.829,34;24.868.353,70;29.061.074,63;534.711,79
mar/25;26000 - Ministério da Educação;26413 - Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;8.241.518,21;23.359.559,61;23.497.911,03;3.211.574,43
abr/25;26000 - Ministério da Educação;26413 - Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;2.380.951,83;32.603.924,98;23.350.943,40;1.276.068,49
jul/25;26000 - Ministério da Educação;26413 - Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;3.033.228,04;30.424.192,51;37.928.244,34;814.159,23
ago/25;26000 - Ministério da Educação;26420 - Instituto Federal de Educação, Ciência e Tecnologia Farroupilha;154.079.587,71;38.882.428,43;38.778.336,68;630.690,98
abr/25;26000 - Ministério da Educação;26420 - Instituto Federal de Educação, Ciência e Tecnologia Farroupilha;70.346.738,39;42.664.679,49;30.452.169,41;3.939.625,56
fev/25;26000 - Ministério da Educação;26420 - Instituto Federal de Educação, Ciência e Tecnologia Farroupilha;30.546.686,20;27.691.556,36;31.898.689,94;3.723.336,55
jun/25;26000 - Ministério da Educação;26420 - Instituto Federal de Educação, Ciência e Tecnologia Farroupilha;75.507.256,47;42.428.631,66;29.439.606,13;2.077.873,44
mar/25;26000 - Ministério da Educação;26420 - Instituto Federal de Educação, Ciência e Tecnologia Farroupilha;37.492.892,62;28.883.473,48;25.288.803,00;3.574.213,77
jan/25;26000 - Ministério da Educação;26420 - Instituto Federal de Educação, Ciência e Tecnologia Farroupilha;73.330.789,23;31.379.698,61;135.671,59;32.472.264,40
mai/25;26000 - Ministério da Educação;26420 - Instituto Federal de Educação, Ciência e Tecnologia Farroupilha;1.395.774,94;34.428.529,33;40.352.635,84;4.635.095,03
jul/25;26000 - Ministério da Educação;26420 - Instituto Federal de Educação, Ciência e Tecnologia Farroupilha;11.225.074,17;39.647.757,98;50.707.358,58;1.972.533,05
mai/25;26000 - Ministério da Educação;26434 - Instituto Federal de Educação, Ciência e Tecnologia Fluminense;4.068.560,90;45.420.766,63;45.595.857,33;2.976.200,90
jun/25;26000 - Ministério da Educação;26434 - Instituto Federal de Educação, Ciência e Tecnologia Fluminense;11.031.758,43;60.556.048,95;41.873.391,59;1.779.254,96
abr/25;26000 - Ministério da Educação;26434 - Instituto Federal de Educação, Ciência e Tecnologia Fluminense;7.412.762,94;55.315.126,92;51.394.414,83;2.294.175,85
jan/25;26000 - Ministério da Educação;26434 - Instituto Federal de Educação, Ciência e Tecnologia Fluminense;475.410.585,30;37.961.925,94;48.671,46;44.576.927,47
mar/25;26000 - Ministério da Educação;26434 - Instituto Federal de Educação, Ciência e Tecnologia Fluminense;6.743.461,81;41.515.543,45;32.837.697,52;3.567.315,22
jul/25;26000 - Ministério da Educação;26434 - Instituto Federal de Educação, Ciência e Tecnologia Fluminense;7.484.434,98;49.304.904,76;66.776.423,43;790.841,02
ago/25;26000 - Ministério da Educação;26434 - Instituto Federal de Educação, Ciência e Tecnologia Fluminense;6.889.922,99;49.209.032,68;48.027.743,33;491.806,28
fev/25;26000 - Ministério da Educação;26434 - Instituto Federal de Educação, Ciência e Tecnologia Fluminense;6.325.364,80;39.953.222,76;45.629.170,96;11.762.466,45
ago/25;26000 - Ministério da Educação;26407 - Instituto Federal de Educação, Ciência e Tecnologia Goiano;10.474.690,68;38.054.201,23;38.511.995,74;447.170,47
jul/25;26000 - Ministério da Educação;26407 - Instituto Federal de Educação, Ciência e Tecnologia Goiano;25.705.630,52;40.136.211,05;46.075.845,29;540.946,87
fev/25;26000 - Ministério da Educação;26407 - Instituto Federal de Educação, Ciência e Tecnologia Goiano;6.830.709,12;30.899.748,54;33.029.452,55;4.481.178,06
mar/25;26000 - Ministério da Educação;26407 - Instituto Federal de Educação, Ciência e Tecnologia Goiano;4.282.045,31;31.436.331,91;30.214.396,22;1.972.415,93
jan/25;26000 - Ministério da Educação;26407 - Instituto Federal de Educação, Ciência e Tecnologia Goiano;386.209.943,82;31.157.267,42;870.319,04;44.577.252,68
abr/25;26000 - Ministério da Educação;26407 - Instituto Federal de Educação, Ciência e Tecnologia Goiano;4.381.960,16;43.275.483,85;32.318.929,64;4.732.877,55
jun/25;26000 - Ministério da Educação;26407 - Instituto Federal de Educação, Ciência e Tecnologia Goiano;27.287.360,43;49.187.661,59;45.038.583,96;1.977.932,89
mai/25;26000 - Ministério da Educação;26407 - Instituto Federal de Educação, Ciência e Tecnologia Goiano;3.743.529,46;40.498.630,56;45.498.795,08;1.799.291,28
jun/25;26000 - Ministério da Educação;26436 - Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense;11.657.769,71;62.555.475,30;46.559.783,38;13.787.749,76
jul/25;26000 - Ministério da Educação;26436 - Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense;25.491.454,91;55.954.520,03;74.699.896,66;3.630.510,81
abr/25;26000 - Ministério da Educação;26436 - Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense;5.059.522,29;61.803.937,69;45.679.543,68;3.238.875,63
ago/25;26000 - Ministério da Educação;26436 - Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense;11.644.839,47;51.532.166,44;52.411.719,70;1.099.897,85
mai/25;26000 - Ministério da Educação;26436 - Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense;296.768.725,12;54.071.018,65;58.203.283,21;2.007.460,84
mar/25;26000 - Ministério da Educação;26436 - Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense;6.312.817,01;44.479.849,29;43.833.474,79;3.616.572,72
fev/25;26000 - Ministério da Educação;26436 - Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense;6.737.973,13;42.928.176,51;39.848.069,11;15.104.889,22
jan/25;26000 - Ministério da Educação;26436 - Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense;263.565.937,75;43.643.528,14;385.421,27;55.892.705,66
mar/25;26000 - Ministério da Educação;26432 - Instituto Federal do Paraná;62.108.477,79;46.170.314,34;45.660.451,35;2.459.179,84
abr/25;26000 - Ministério da Educação;26432 - Instituto Federal do Paraná;369.705.638,34;65.870.850,44;46.053.676,42;2.516.637,43
jun/25;26000 - Ministério da Educação;26432 - Instituto Federal do Paraná;40.825.889,00;76.973.433,77;56.598.004,81;2.594.979,34
ago/25;26000 - Ministério da Educação;26432 - Instituto Federal do Paraná;16.560.501,67;58.479.369,58;59.455.271,36;1.331.189,99
jul/25;26000 - Ministério da Educação;26432 - Instituto Federal do Paraná;8.786.001,50;58.061.300,23;77.705.185,43;2.121.348,14
jan/25;26000 - Ministério da Educação;26432 - Instituto Federal do Paraná;51.973.190,42;45.886.277,69;199.955,63;50.741.869,63
mai/25;26000 - Ministério da Educação;26432 - Instituto Federal do Paraná;4.455.413,78;53.620.464,34;63.053.888,76;3.411.790,89
fev/25;26000 - Ministério da Educação;26432 - Instituto Federal do Paraná;49.519.358,87;44.875.434,61;41.399.733,41;10.662.851,79
jan/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30204 - Instituto Nacional da Propriedade Industrial;193.286.376,14;29.520.004,41;1.118.392,66;34.694.097,55
mai/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30204 - Instituto Nacional da Propriedade Industrial;4.259.895,52;37.831.586,69;46.923.634,51;2.247.059,69
fev/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30204 - Instituto Nacional da Propriedade Industrial;3.358.691,89;34.706.645,31;31.321.964,81;6.573.025,04
ago/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30204 - Instituto Nacional da Propriedade Industrial;55.254.938,31;37.872.934,93;37.264.818,39;255.425,63
jun/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30204 - Instituto Nacional da Propriedade Industrial;97.457.369,78;48.050.134,44;40.369.658,88;210.809,87
jul/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30204 - Instituto Nacional da Propriedade Industrial;3.481.075,75;37.640.424,38;47.599.130,61;119.920,34
abr/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30204 - Instituto Nacional da Propriedade Industrial;35.393.458,41;49.932.887,91;34.395.278,84;920.014,02
mar/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30204 - Instituto Nacional da Propriedade Industrial;3.738.986,49;31.531.084,44;30.899.663,33;339.618,57
fev/25;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;22201 - Instituto Nacional de Colonização e Reforma Agrária;21.009.602,19;112.828.862,91;113.569.324,89;129.200.638,69
abr/25;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;22201 - Instituto Nacional de Colonização e Reforma Agrária;566.901.411,46;177.137.321,41;119.563.999,77;31.151.734,90
mai/25;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;22201 - Instituto Nacional de Colonização e Reforma Agrária;65.096.477,07;141.187.990,64;176.134.846,28;106.308.859,94
jun/25;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;22201 - Instituto Nacional de Colonização e Reforma Agrária;167.848.624,02;176.433.308,00;136.754.238,00;11.188.098,35
jul/25;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;22201 - Instituto Nacional de Colonização e Reforma Agrária;39.117.797,36;340.592.469,85;384.916.703,03;111.848.302,84
jan/25;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;22201 - Instituto Nacional de Colonização e Reforma Agrária;1.308.005.434,95;104.509.920,48;2.903.992,80;102.751.722,50
mar/25;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;22201 - Instituto Nacional de Colonização e Reforma Agrária;21.805.080,56;114.335.587,83;114.412.936,61;60.279.374,94
ago/25;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;22201 - Instituto Nacional de Colonização e Reforma Agrária;40.414.325,99;193.609.699,38;191.895.507,14;59.709.771,83
ago/25;26000 - Ministério da Educação;26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;186.535.195,74;40.392.210,28;41.738.396,98;247.120,60
jul/25;26000 - Ministério da Educação;26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;278.293.251,08;47.881.633,81;51.219.252,30;3.031.659,55
abr/25;26000 - Ministério da Educação;26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;103.778.438,98;35.182.967,38;29.074.578,48;21.170.370,60
fev/25;26000 - Ministério da Educação;26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;47.122.955,76;16.524.276,68;14.942.740,08;40.935.372,69
mar/25;26000 - Ministério da Educação;26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;18.664.195,96;23.164.157,28;21.995.094,03;33.509.271,34
jan/25;26000 - Ministério da Educação;26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;95.497.033,53;8.284.699,15;240.112,80;62.229.319,57
jun/25;26000 - Ministério da Educação;26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;197.798.808,96;46.452.503,60;42.051.906,76;4.254.063,80
mai/25;26000 - Ministério da Educação;26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;17.190.946,43;34.923.319,94;36.982.864,51;14.387.805,82
ago/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia;73.557.220,81;68.431.141,76;69.084.982,33;22.985,59
fev/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia;40.752.164,31;34.304.684,23;36.234.962,67;1.581.343,09
mar/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia;56.088.162,78;60.536.511,29;57.268.592,53;626.992,64
mai/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia;72.160.990,20;68.908.518,07;73.885.291,52;1.111.782,85
jul/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia;73.397.776,91;76.799.201,26;89.652.425,97;150.707,46
abr/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia;81.632.072,10;61.825.598,35;48.057.997,93;2.465.438,12
jan/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia;29.409.503,42;27.004.330,45;2.131.664,34;33.371.060,81
jun/25;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia;110.004.536,73;87.936.502,66;84.181.970,83;82.873,45
abr/25;46000 - Ministério da Gestão e da Inovação em Serviços Públicos;24208 - Instituto Nacional de Tecnologia da Informação;2.579.230,94;2.601.748,27;2.517.544,27;41.472,66
jun/25;46000 - Ministério da Gestão e da Inovação em Serviços Públicos;24208 - Instituto Nacional de Tecnologia da Informação;8.706.138,64;2.168.343,91;2.039.558,57;2.757,12
fev/25;46000 - Ministério da Gestão e da Inovação em Serviços Públicos;24208 - Instituto Nacional de Tecnologia da Informação;1.754.302,09;1.986.664,63;1.478.954,52;1.805.211,45
mai/25;46000 - Ministério da Gestão e da Inovação em Serviços Públicos;24208 - Instituto Nacional de Tecnologia da Informação;-258.000,00;2.711.569,65;2.774.681,25;2.487,08
mar/25;46000 - Ministério da Gestão e da Inovação em Serviços Públicos;24208 - Instituto Nacional de Tecnologia da Informação;1.787.095,02;1.931.000,56;2.000.602,08;205.000,44
jan/25;46000 - Ministério da Gestão e da Inovação em Serviços Públicos;24208 - Instituto Nacional de Tecnologia da Informação;14.365.231,85;190.199,42;24,24;2.812.210,69
jul/25;46000 - Ministério da Gestão e da Inovação em Serviços Públicos;24208 - Instituto Nacional de Tecnologia da Informação;2.270.658,76;2.342.401,72;2.443.737,54;0
ago/25;46000 - Ministério da Gestão e da Inovação em Serviços Públicos;24208 - Instituto Nacional de Tecnologia da Informação;1.703.015,09;3.106.562,56;2.035.514,11;24.000,00
jun/25;33000 - Ministério da Previdência Social;37202 - Instituto Nacional do Seguro Social;1.991.291.824,50;7.638.874.386,84;11.497.614.673,24;15.752.397,78
mai/25;33000 - Ministério da Previdência Social;37202 - Instituto Nacional do Seguro Social;56.191.921.927,98;13.108.762.759,97;11.499.259.918,12;5.825.325,45
ago/25;33000 - Ministério da Previdência Social;37202 - Instituto Nacional do Seguro Social;730.471.508,50;6.893.369.707,74;10.855.705.867,74;6.404.174,72
fev/25;33000 - Ministério da Previdência Social;37202 - Instituto Nacional do Seguro Social;246.721.406,69;10.805.792.850,84;10.959.615.524,22;22.285.499,92
jan/25;33000 - Ministério da Previdência Social;37202 - Instituto Nacional do Seguro Social;30.731.143.154,78;11.021.464.649,50;4.856.580.173,85;5.818.904.794,79
mar/25;33000 - Ministério da Previdência Social;37202 - Instituto Nacional do Seguro Social;26.744.996.439,32;10.796.936.968,86;10.888.257.679,05;48.574.706,17
jul/25;33000 - Ministério da Previdência Social;37202 - Instituto Nacional do Seguro Social;4.943.103.692,72;12.205.212.128,60;12.350.433.068,07;6.435.638,28
abr/25;33000 - Ministério da Previdência Social;37202 - Instituto Nacional do Seguro Social;735.301.200,08;11.476.609.204,95;11.087.093.923,32;7.601.103,89
fev/25;22000 - Ministério da Agricultura e Pecuária;22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto;324.155.522,41;310.737.938,35;308.917.757,58;55.985.127,29
mar/25;22000 - Ministério da Agricultura e Pecuária;22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto;317.567.972,96;319.598.814,92;313.052.563,26;99.939.645,41
mai/25;22000 - Ministério da Agricultura e Pecuária;22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto;678.019.539,58;366.512.691,36;434.666.316,63;251.018.983,04
abr/25;22000 - Ministério da Agricultura e Pecuária;22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto;467.254.507,33;482.749.680,98;392.178.845,22;80.995.015,28
jan/25;22000 - Ministério da Agricultura e Pecuária;22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto;441.636.671,13;292.185.092,04;3.999.421,05;513.683.052,04
jul/25;22000 - Ministério da Agricultura e Pecuária;22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto;493.116.210,11;373.176.999,22;486.411.656,59;358.483.270,89
jun/25;22000 - Ministério da Agricultura e Pecuária;22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto;614.024.838,27;660.444.322,87;364.266.930,11;140.656.544,91
ago/25;22000 - Ministério da Agricultura e Pecuária;22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto;421.761.091,11;336.348.555,92;344.575.105,38;208.306.757,88
fev/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto;704.295.140,32;152.965.208,92;152.869.948,81;41.769.908,88
jun/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto;197.589.953,17;199.441.114,72;226.139.965,26;12.020.161,75
mar/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto;155.409.343,08;456.884.036,32;176.208.014,78;41.639.394,25
jul/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto;-75.000.446,83;258.692.017,41;296.914.231,56;8.880.483,42
ago/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto;44.365.886,82;175.881.664,47;174.869.122,57;4.954.816,46
abr/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto;43.595.901,46;233.921.179,58;455.287.645,51;28.771.189,00
mai/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto;-120.438.877,30;220.479.836,33;256.132.101,17;7.573.562,18
jan/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto;1.935.832.265,87;155.743.151,66;28.431.124,57;184.484.711,61
jun/25;42000 - Ministério da Cultura;42000 - Ministério da Cultura - Unidades com vínculo direto;19.278.864,29;24.797.193,19;25.007.578,39;1.794.371,33
fev/25;42000 - Ministério da Cultura;42000 - Ministério da Cultura - Unidades com vínculo direto;8.555.399,08;12.307.027,69;11.515.663,79;82.184.250,36
mai/25;42000 - Ministério da Cultura;42000 - Ministério da Cultura - Unidades com vínculo direto;33.935.104,08;23.253.631,62;21.409.729,02;5.284.054,43
abr/25;42000 - Ministério da Cultura;42000 - Ministério da Cultura - Unidades com vínculo direto;19.097.648,30;20.847.887,57;18.245.448,74;9.750.046,35
jul/25;42000 - Ministério da Cultura;42000 - Ministério da Cultura - Unidades com vínculo direto;45.736.183,23;45.937.671,00;45.688.735,04;2.942.801,81
jan/25;42000 - Ministério da Cultura;42000 - Ministério da Cultura - Unidades com vínculo direto;120.309.949,06;10.661.938,21;69.213,83;54.529.959,78
mar/25;42000 - Ministério da Cultura;42000 - Ministério da Cultura - Unidades com vínculo direto;39.606.007,30;19.538.154,73;18.348.485,67;17.505.784,12
ago/25;42000 - Ministério da Cultura;42000 - Ministério da Cultura - Unidades com vínculo direto;49.856.910,96;23.322.615,68;26.135.778,75;1.654.807,42
ago/25;52000 - Ministério da Defesa;52000 - Ministério da Defesa - Unidades com vínculo direto;30.196.169,76;46.828.602,89;56.491.236,08;61.072.471,04
jul/25;52000 - Ministério da Defesa;52000 - Ministério da Defesa - Unidades com vínculo direto;55.987.857,33;69.749.113,25;73.771.824,68;93.535.694,37
fev/25;52000 - Ministério da Defesa;52000 - Ministério da Defesa - Unidades com vínculo direto;93.845.802,56;34.683.864,43;32.748.120,45;69.148.907,69
jun/25;52000 - Ministério da Defesa;52000 - Ministério da Defesa - Unidades com vínculo direto;34.440.648,09;65.045.044,40;56.957.163,20;24.573.167,71
jan/25;52000 - Ministério da Defesa;52000 - Ministério da Defesa - Unidades com vínculo direto;303.240.398,91;26.284.249,45;7.068.975,59;93.615.946,81
mar/25;52000 - Ministério da Defesa;52000 - Ministério da Defesa - Unidades com vínculo direto;63.180.688,37;38.708.681,64;38.386.673,30;30.168.988,87
mai/25;52000 - Ministério da Defesa;52000 - Ministério da Defesa - Unidades com vínculo direto;17.613.541,99;53.876.096,21;65.912.482,59;37.681.450,87
abr/25;52000 - Ministério da Defesa;52000 - Ministério da Defesa - Unidades com vínculo direto;-19.302.293,28;60.505.650,79;44.878.023,49;64.569.033,74
mar/25;26000 - Ministério da Educação;26000 - Ministério da Educação - Unidades com vínculo direto;46.532.188,83;91.605.880,86;90.514.269,78;13.349.901,69
abr/25;26000 - Ministério da Educação;26000 - Ministério da Educação - Unidades com vínculo direto;100.222.161,80;123.634.555,34;97.743.967,00;8.691.655,20
jul/25;26000 - Ministério da Educação;26000 - Ministério da Educação - Unidades com vínculo direto;229.293.402,17;124.603.115,41;138.556.058,32;5.404.351,68
fev/25;26000 - Ministério da Educação;26000 - Ministério da Educação - Unidades com vínculo direto;61.879.212,07;70.188.708,29;68.140.015,74;38.652.722,33
jan/25;26000 - Ministério da Educação;26000 - Ministério da Educação - Unidades com vínculo direto;428.937.749,68;55.943.492,54;9.722.569,78;121.910.040,16
mai/25;26000 - Ministério da Educação;26000 - Ministério da Educação - Unidades com vínculo direto;32.703.149,44;102.249.354,14;113.292.854,92;109.234.846,89
jun/25;26000 - Ministério da Educação;26000 - Ministério da Educação - Unidades com vínculo direto;211.532.785,76;121.537.351,14;111.029.579,93;33.800.576,15
ago/25;26000 - Ministério da Educação;26000 - Ministério da Educação - Unidades com vínculo direto;115.951.050,21;143.310.113,39;153.562.383,21;1.200.537,15
mai/25;25000 - Ministério da Fazenda;25000 - Ministério da Fazenda - Unidades com vínculo direto;224.441.539.764,51;282.021.906.793,30;282.011.739.295,62;3.668.469.173,07
